ORIGIN,DEST,AIR_TIME,ELAPSED_TIME
ABE,ATL,102.90677966101696,126.77401129943503
ABE,BNA,100.11764705882354,122.29411764705883
ABE,CLT,81.63231850117096,108.82201405152225
ABE,DEN,203.0,220.0
ABE,DTW,77.699604743083,101.9802371541502
ABE,FLL,145.57142857142858,168.42857142857142
ABE,MDW,88.0,103.5
ABE,MYR,76.44186046511628,93.5813953488372
ABE,ORD,107.85106382978724,135.40851063829788
ABE,PGD,142.45,164.48333333333332
ABE,PIE,137.07777777777778,156.11111111111111
ABE,SAV,94.91666666666667,109.5
ABE,SFB,126.54494382022472,145.57865168539325
ABE,SRQ,140.9655172413793,163.79310344827587
ABI,DFW,35.21557719054242,60.40890125173853
ABI,IAH,55.2037037037037,72.77777777777777
ABQ,ATL,152.16459627329192,174.9503105590062
ABQ,AUS,80.66359447004608,98.23963133640552
ABQ,BUR,99.81632653061224,112.81632653061224
ABQ,BWI,197.43396226415095,213.27358490566039
ABQ,DAL,81.46302816901408,97.66373239436619
ABQ,DEN,56.896,79.064
ABQ,DFW,78.2618025751073,104.02789699570816
ABQ,HOU,99.36912751677852,117.26845637583892
ABQ,IAH,102.48342541436465,126.1767955801105
ABQ,JFK,214.18666666666667,236.4
ABQ,LAS,72.54817987152035,89.24839400428266
ABQ,LAX,98.59210526315789,122.42251461988305
ABQ,MCI,90.81481481481481,106.03703703703704
ABQ,MCO,182.85714285714286,204.57142857142858
ABQ,MDW,138.5765306122449,153.12244897959184
ABQ,MSP,125.40625,145.09375
ABQ,OAK,126.11875,141.85625
ABQ,ORD,141.23140495867767,167.79338842975207
ABQ,PDX,158.10588235294117,177.9294117647059
ABQ,PHX,56.12026913372582,78.08410428931876
ABQ,SAN,92.52659574468085,107.95212765957447
ABQ,SAT,77.44444444444444,93.88888888888889
ABQ,SEA,165.40718562874252,190.64670658682635
ABQ,SFB,179.0,193.5
ABQ,SFO,130.59893048128342,153.7326203208556
ABQ,SJC,126.33333333333333,141.33333333333334
ABQ,SLC,77.79947916666667,98.71354166666667
ABR,MSP,45.7986798679868,69.77557755775578
ABY,ATL,36.81954887218045,57.43859649122807
ACK,BOS,24.879310344827587,44.0
ACK,CLT,111.33333333333333,153.66666666666666
ACK,DCA,75.85882352941177,97.55294117647058
ACK,EWR,53.25,79.125
ACK,HPN,41.11538461538461,60.26923076923077
ACK,JFK,40.95104895104895,65.15384615384616
ACK,LGA,48.1530612244898,73.70408163265306
ACK,ORD,154.75,194.5
ACK,PHL,58.75,81.125
ACT,DFW,28.337726523887973,52.084019769357496
ACV,DEN,137.52325581395348,161.65116279069767
ACV,LAX,86.05882352941177,110.32085561497327
ACV,PHX,114.0,136.22222222222223
ACV,SFO,48.2713567839196,67.09547738693468
ACY,ATL,101.92307692307692,128.35897435897436
ACY,BOS,47.666666666666664,67.0
ACY,FLL,135.84873949579833,158.9453781512605
ACY,MCO,120.11152416356877,146.96654275092936
ACY,MIA,139.25,161.82142857142858
ACY,MYR,70.14685314685315,86.7132867132867
ACY,PBI,134.63953488372093,151.75581395348837
ACY,RSW,141.96391752577318,160.03608247422682
ACY,SJU,195.54545454545453,213.0
ACY,TPA,130.06382978723406,147.63829787234042
ADK,ANC,148.44444444444446,162.0
ADK,CDB,83.33333333333333,103.0
ADQ,ANC,42.31103678929766,56.618729096989966
AEX,ATL,74.0091743119266,97.88532110091744
AEX,CLT,97.5625,127.28125
AEX,DFW,54.41095890410959,81.95205479452055
AEX,IAH,41.11805555555556,69.5625
AGS,ATL,33.119477911646584,56.553212851405625
AGS,AUS,137.0,160.0
AGS,BOS,114.0,145.0
AGS,CLT,32.08771929824562,63.73099415204678
AGS,DCA,70.6867469879518,94.66265060240964
AGS,DFW,135.6078431372549,164.27450980392157
AGS,DTW,87.0,111.0
AGS,LGA,91.5,114.0
AGS,MIA,79.0,106.0
AGS,ORD,115.0,134.0
AGS,PHL,85.75,109.25
AGS,PHX,233.0,259.0
AKN,ANC,46.81818181818182,59.474747474747474
AKN,DLG,21.125,31.125
ALB,ATL,128.86161879895562,150.52741514360312
ALB,BNA,114.0,138.45454545454547
ALB,BWI,56.42434210526316,71.65789473684211
ALB,CLT,105.54976303317535,127.88862559241706
ALB,DCA,65.57863501483679,89.04154302670624
ALB,DEN,220.83076923076922,241.73846153846154
ALB,DTW,79.43451143451144,102.4948024948025
ALB,EWR,34.66086956521739,70.38260869565218
ALB,FLL,167.49137931034483,187.42241379310346
ALB,IAD,66.28571428571429,87.71428571428571
ALB,LGA,32.789855072463766,58.76086956521739
ALB,MCO,154.609375,175.55
ALB,MDW,111.67469879518072,127.79518072289157
ALB,MIA,178.5,205.0
ALB,MSP,147.3,166.6
ALB,MYR,98.48275862068965,119.89655172413794
ALB,ORD,114.22560975609755,144.73373983739836
ALB,PGD,167.69387755102042,189.0204081632653
ALB,PHL,48.40425531914894,72.27659574468085
ALB,PIE,162.10416666666666,182.16666666666666
ALB,RDU,87.18181818181819,109.0909090909091
ALB,RSW,178.66666666666666,195.83333333333334
ALB,SAV,128.0,145.0
ALB,SFB,152.26190476190476,173.73809523809524
ALB,TPA,163.41666666666666,178.63888888888889
ALO,ORD,44.07826086956522,71.63913043478261
ALS,DEN,39.43055555555556,67.61111111111111
ALW,SEA,48.7687074829932,63.89115646258504
AMA,AUS,59.785714285714285,75.48214285714286
AMA,AZA,91.8,109.4
AMA,DAL,51.93191489361702,67.0
AMA,DEN,57.804054054054056,82.36486486486487
AMA,DFW,49.6430412371134,75.68298969072166
AMA,HOU,76.5,92.5
